Model,Accuracy,Precision,Recall,F1-Score,CV Mean,CV Std
Gradient Boosting,0.7875,0.7855416991814574,0.7875,0.7853939131883442,0.770625,0.021523969197153207
XGBoost,0.78,0.7799645363853236,0.78,0.7796450638160592,0.764375,0.023268138086232876
Random Forest,0.77,0.7674222197486749,0.77,0.7664844103913119,0.7456250000000001,0.023099648265720446
Logistic Regression,0.745,0.7574038602614838,0.745,0.7494027503262393,0.7268749999999999,0.017633419974582353
Neural Network,0.74,0.7404690908713865,0.74,0.7399708371340756,0.7231249999999999,0.022413026346301376
